Image,Actual Activity,Culture,Time,Room Result(only based on init setting),Activity Result (only based on init setting),Activity Result (Microsoft alone),Final Room Result,Final Activity Result
Image0,Cooking,Indian,EIGHTPM,BEDROOM,P_EATING,Cooking,KITCHEN,P_COOKING
Image1,Cooking,Indian,EIGHTPM,BEDROOM,P_EATING,Cooking,KITCHEN,P_COOKING
Image2,Cooking,Indian,EIGHTPM,BEDROOM,P_EATING,Cooking,KITCHEN,P_COOKING
Image3,Cooking,Indian,EIGHTPM,BEDROOM,P_EATING,Cooking,KITCHEN,P_EATING
Image4,Cooking,Indian,EIGHTPM,BEDROOM,P_EATING,Cooking,KITCHEN,P_EATING
Image0,Eating,Indian,ONEPM,BEDROOM,P_EATING,Eating,BEDROOM,P_EATING
Image1,Eating,Indian,ONEPM,BEDROOM,P_EATING,Eating,BEDROOM,P_EATING
Image2,Eating,Indian,ONEPM,BEDROOM,P_EATING,Eating,BEDROOM,P_EATING
Image3,Eating,Indian,ONEPM,BEDROOM,P_EATING,Eating,BEDROOM,P_EATING
Image4,Eating,Indian,ONEPM,BEDROOM,P_EATING,Eating,BEDROOM,P_EATING
Image0,Reading,Indian,TENPM,BEDROOM,P_EATING,Reading,BEDROOM,P_READING
Image1,Reading,Indian,TENPM,DININGROOM,P_EATING,Cooking,LIVINGROOM,P_READING
Image2,Reading,Indian,TENPM,BEDROOM,P_EATING,Reading,BEDROOM,P_READING
Image3,Reading,Indian,TENPM,BEDROOM,P_EATING,Reading,BEDROOM,P_READING
Image4,Reading,Indian,TENPM,LIVINGROOM,P_EATING,Reading,LIVINGROOM,P_READING
Image0,Praying,Indian,NINEAM,BEDROOM,P_OTHERS,Puja_Praying,PUJAROOM,P_PRAYING
Image1,Praying,Indian,NINEAM,BEDROOM,P_OTHERS,Puja_Praying,PUJAROOM,P_PRAYING
Image2,Praying,Indian,NINEAM,BEDROOM,P_OTHERS,Puja_Praying,PUJAROOM,P_PRAYING
Image3,Praying,Indian,NINEAM,BEDROOM,P_OTHERS,Puja_Praying,PUJAROOM,P_PRAYING
Image4,Praying,Indian,NINEAM,BEDROOM,P_OTHERS,Puja_Praying,PUJAROOM,P_PRAYING
Image0,Sleeping,Indian,TWELVEAM,BEDROOM,P_SLEEPING,Sleeping,BEDROOM,P_SLEEPING
Image1,Sleeping,Indian,TWELVEAM,KITCHEN,P_OTHERS,Sleeping,BEDROOM,P_SLEEPING
Image2,Sleeping,Indian,TWELVEAM,BEDROOM,P_SLEEPING,Sleeping,BEDROOM,P_SLEEPING
Image3,Sleeping,Indian,TWELVEAM,BEDROOM,P_SLEEPING,Sleeping,BEDROOM,P_SLEEPING
Image4,Sleeping,Indian,TWELVEAM,BEDROOM,P_SLEEPING,Sleeping,BEDROOM,P_SLEEPING
